username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_uhc192,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc197,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_uhc200,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc199,ACTIVE,PASSED,n/a,PASSED,PASSED,n/a,n/a,MAPD
q4_dec_uhc204,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc206,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,PDP
q4_dec_uhc002,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc004,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc005,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc003,ACTIVE,PASSED,FAILED,PASSED,PASSED,n/a,n/a,MAPD
q4_dec_uhc011,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc015,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc014,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc013,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc020,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc022,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc024,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc023,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc029,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc032,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc031,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc033,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc038,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc039,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc041,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc042,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc006,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc049,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc051,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc050,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc047,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc052,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc058,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc059,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc060,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc061,ACTIVE,PASSED,n/a,n/a,PASSED,PASSED,n/a,MAPD
q4_dec_uhc062,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc067,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc069,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc070,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc071,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc072,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc078,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc077,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc080,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc081,ACTIVE,PASSED,n/a,n/a,PASSED,PASSED,n/a,MAPD
q4_dec_uhc082,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc086,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc088,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc090,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc091,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc092,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc096,TERMINATED,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc100,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc098,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc101,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc102,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc105,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc108,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc109,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc111,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc112,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc115,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc119,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc121,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc120,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc122,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc127,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc128,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc130,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc131,ACTIVE,PASSED,n/a,n/a,PASSED,PASSED,n/a,MAPD
q4_dec_uhc132,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc137,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc141,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc138,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc142,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_uhc140,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_uhc148,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_uhc146,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc149,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_uhc151,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc152,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc154,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc160,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc159,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc161,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc162,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_uhc165,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc167,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc168,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc169,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc170,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc174,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc176,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_uhc175,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
